Long,lat,Band name,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,watersalt,EVI,NDTI,NDWI,EMVI
39.88984909,8.890687593,1,0.03,0.038,0.051,0.052,0.059,0.036,0.038,0.033,0.031,0.023,0.02,0.017,-0.224949576,0.074845659,-0.044147212,0.002426012,0.441795224,-1.08798184
40.12920756,9.172824957,2,0.046,0.064,0.088,0.111,0.137,0.136,0.147,0.131,0.145,0.155,0.108,0.092,0.081885826,0.081053942,0.036642224,0.113340033,-0.09841917,-0.163212505
40.12706682,9.174769404,3,0.024,0.051,0.082,0.091,0.117,0.109,0.128,0.148,0.121,0.285,0.079,0.053,0.237380094,0.193943228,0.105931432,0.055935305,0.017853413,-9.936058343
39.92515446,9.194949323,4,0.111,0.136,0.18,0.231,0.255,0.267,0.278,0.274,0.286,0.286,0.314,0.293,0.084023398,0.034553074,0.062129648,0.124582713,-0.271102881,-0.843404066
39.92512798,9.194930458,5,0.111,0.136,0.18,0.231,0.255,0.267,0.278,0.274,0.286,0.286,0.314,0.293,0.084023398,0.034553074,0.062129648,0.124582713,-0.271102881,-0.843404066
39.85975812,9.208371906,6,0.042,0.06,0.083,0.099,0.132,0.176,0.198,0.201,0.218,0.216,0.222,0.169,0.340736412,0.134830111,0.185452199,0.085498085,-0.454665666,-0.619874444
39.86808114,8.896256046,7,0.03,0.04,0.051,0.051,0.058,0.039,0.04,0.035,0.031,0.02,0.02,0.017,-0.194585962,0.078970954,-0.039198559,-0.001668038,0.438897758,-1.093569923
39.86836579,8.896252071,8,0.03,0.039,0.052,0.052,0.059,0.038,0.04,0.034,0.031,0.021,0.02,0.016,-0.209079155,0.108004104,-0.041896063,-0.002636406,0.444444433,-1.121845339
39.87068325,8.880010079,9,0.03,0.039,0.051,0.05,0.057,0.035,0.036,0.03,0.028,0.021,0.018,0.015,-0.243459512,0.101933894,-0.046051964,-0.011013527,0.473025048,-1.103054962
40.10641718,9.227963429,10,0.032,0.073,0.098,0.119,0.138,0.184,0.205,0.177,0.215,0.27,0.166,0.126,0.194603709,0.136708707,0.104313554,0.097628256,-0.256673363,-0.411171804
39.98154293,8.957775434,11,0.08,0.102,0.141,0.18,0.212,0.232,0.25,0.251,0.274,0.267,0.334,0.306,0.1652361,0.044321515,0.110036202,0.12246993,-0.46169263,-0.8533994
40.02897398,9.384565026,12,0.084,0.105,0.144,0.186,0.205,0.225,0.239,0.243,0.253,0.263,0.28,0.255,0.13431638,0.04701212,0.088678836,0.12522353,-0.5043183,-0.8147184
39.83898029,8.904864664,13,0.049,0.068,0.092,0.114,0.133,0.159,0.173,0.164,0.189,0.218,0.202,0.17,0.18084913,0.08648173,0.09155755,0.10891735,-0.30510893,-0.70898026
40.09607813,9.178132174,14,0.097,0.123,0.168,0.214,0.25,0.256,0.265,0.251,0.268,0.267,0.273,0.257,0.07892091,0.031120146,0.054832149,0.120308615,-0.18755797,-0.8432161
39.91398962,9.146511476,15,0.079,0.099,0.13,0.166,0.19,0.201,0.213,0.211,0.228,0.229,0.262,0.238,0.119220115,0.04829127,0.074287691,0.123371996,-0.28800917,-0.8174649
39.8982691,8.814314484,16,0.033,0.046,0.085,0.071,0.125,0.262,0.304,0.303,0.326,0.304,0.184,0.108,0.61848396,0.26154006,0.410913542,-0.08648618,-0.40760544,-0.23187475
39.9729191,8.92813103,17,0.066,0.094,0.129,0.165,0.189,0.22,0.236,0.235,0.252,0.259,0.29,0.275,0.17583519,0.027148869,0.11219731,0.11943039,-0.40591446,-0.9045725
40.07856098,9.387978624,18,0.043,0.056,0.081,0.097,0.133,0.175,0.193,0.188,0.213,0.204,0.22,0.173,0.32094312,0.11956196,0.166293973,0.089088626,-0.2726896,-0.6622751
39.80439516,9.135641861,19,0.049,0.069,0.097,0.116,0.15,0.196,0.215,0.219,0.236,0.235,0.237,0.174,0.30522782,0.15492626,0.178061593,0.0932652,-0.4293354,-0.5477629
39.84859227,9.159986205,20,0.037,0.053,0.083,0.065,0.072,0.057,0.059,0.054,0.057,0.046,0.055,0.049,-0.09779053,0.057317786,-0.027151934,-0.11692619,-0.39751992,-1.2148414
